Key,Id,Arabic (Saudi Arabia)(ar-SA),Bulgarian (Bulgaria)(bg-BG),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Czech (Czech Republic)(cs-CZ),Dutch (Belgium)(nl-BE),Dutch (Netherlands)(nl-NL),English (United Kingdom)(en-GB),French (France)(fr-FR),German (Germany)(de-DE),Hindi (India)(hi-IN),Italian (Italy)(it-IT),Japanese (Japan)(ja-JP),Polish (Poland)(pl-PL),Russian (Russia)(ru-RU),Spanish (Spain)(es-ES),Swedish (Sweden)(sv-SE)
"sushi_title",50099904530,"سوشي","Суши","寿司","壽司","Sushi","Sushi","Sushi","Sushi","Sushi","Sushi","सुशी","Sushi","寿司","Sushi","Суши","Sushi","Sushi"
"sushi_subtitle",50099904531,"طعام ياباني شهي","Японски деликатес","日本美食","日本美食","Japonská delikatesa","Japans lekkernij","Japans lekkernij","Japanese Delicacy","Délicatesse japonaise","Japanische Delikatesse","जापानी व्यंजन","Prelibatezza giapponese","日本の珍味","Japo_ski przysmak","Японский Деликатес","Delicias japonesas","Japansk delikatess"
"sushi_description",50099904532,"لفائف السوشي الطازجة مع الأرز والأعشاب البحرية والأسماك.","Пресни суши рулца с ориз, водорасли и риба.","新鲜的寿司卷，配有米饭、海藻和鱼。","新鮮的壽司卷，配有米飯、海藻和魚。","Čerstvé sushi rolky s rýží, mořskými řasami a rybami.","Verse sushirollen met rijst, zeewier en vis.","Verse sushirollen met rijst, zeewier en vis.","Fresh sushi rolls with rice, seaweed, and fish.","Rouleaux de sushi frais avec riz, algues et poisson.","Frische Sushi-Rollen mit Reis, Seetang und Fisch.","चावल, समुद्री शैवाल और मछली के साथ ताज़ा सुशी रोल।","Rotoli di sushi freschi con riso, alghe e pesce.","ご飯、海藻、魚を使った新鮮な巻き寿司。","_wie_e rolki sushi z ry_em, wodorostami i ryb_.","Свежие суши-роллы с рисом, водорослями и рыбой.","Rollos de sushi frescos con arroz, algas y pescado.","Rollos de sushi frescos con arroz, algas y pescado."
"bavarian_beer_title",50095710208,"البيرة البافارية","Баварска бира","巴伐利亚啤酒","巴伐利亞啤酒","Bavorské pivo","Bavariaans bier","Bavariaans bier","Bavarian Beer","Bière bavaroise","Bayerisches Bier","बवेरियन बीयर","Birra bavarese","バイエルンビール","Piwo bawarskie","Баварское пиво","Cerveza bávara","Bayert öl"
"bavarian_beer_subtitle",50095710209,"المشروب الألماني التقليدي","Традиционна немска напитка","传统德国饮品","傳統德國飲品","Tradiční německý nápoj","Traditioneel Duits drankje","Traditioneel Duits drankje","Traditional German Beverage","Boisson allemande traditionnelle","Traditionelles deutsches Getränk","पारंपरिक जर्मन पेय","Bevanda tradizionale tedesca","伝統的なドイツの飲み物","Tradycyjny niemiecki napój","Традиционный немецкий напиток","Bebida tradicional alemana","Traditionell tysk dryck"
"bavarian_beer_description",50095710210,"بيرة بافارية منعشة تُصنع من أجود أنواع الشعير والجنجل.","Освежаваща баварска бира, приготвена от най-добри ечемик и хмел.","用优质大麦和啤酒花酿造的清爽巴伐利亚啤酒。","用優質大麥和啤酒花釀造的清爽巴伐利亞啤酒。","Svěživé bavorské pivo uvařené z nejlepšího ječmene a chmele.","Een fris, verfrissend Beiers bier gebrouwen met de beste gerst en hop.","Een fris, verfrissend Beiers bier gebrouwen met de beste gerst en hop.","A crisp, refreshing Bavarian beer brewed from the finest barley and hops.","Une bière bavaroise croustillante et rafraîchissante brassée à partir du meilleur orge et houblon.","Ein frisches, erfrischendes bayerisches Bier, gebraut aus feinstem Gerstenmalz und Hopfen.","बेहतरीन जौ और हॉप्स से बनी एक कुरकुरी, ताज़ा बवेरियन बीयर।","Una birra bavarese croccante e rinfrescante prodotta con il miglior orzo e luppolo.","最高級の大麦とホップで醸造されたさわやかなバイエルンビール。","Chrupiące, orzeźwiające bawarskie piwo warzone z najlepszego jęczmienia i chmielu.","Свежее баварское пиво, сваренное из лучшего ячменя и хмеля.","Una cerveza bávara refrescante elaborada con la mejor cebada y lúpulo.","En fräsch, uppfriskande bayersk öl bryggd av det finaste kornet och humle."
"apple_strudle_title",50095710211,"فطيرة التفاح","Ябълков штрудел","苹果卷","蘋果捲","Jablečný závin","Appelstrudel","Appelstrudel","Apple Strudle","Strudel aux pommes","Apfelstrudel","एप्पल स्ट्रूडल","Strudel di mele","アップルシュトゥルーデル","Strudel jabłkowy","Яблочный штрудель","Strudel de manzana","Äppelstrudel"
"apple_strudle_subtitle",50095710212,"حلوى نمساوية تقليدية","Класически австрийски десерт","经典奥地利甜点","經典奧地利甜點","Klasický rakouský dezert","Klassisch Oostenrijks dessert","Klassiek Oostenrijks dessert","Classic Austrian Dessert","Dessert autrichien classique","Klassisches österreichisches Dessert","क्लासिक ऑस्ट्रियाई डेज़र्ट","Dolce austriaco classico","クラシックなオーストリアのデザート","Klasyczny austriacki deser","Классический австрийский десерт","Postre clásico austriaco","Klassisk österrikisk efterrätt"
"apple_strudle_description",50095710213,"فطيرة دافئة محشوة بالتفاح المتبل والزبيب الذهبي.","Топло тесто, пълнено с подправени ябълки и златисти стафиди.","温暖的糕点，内含五香苹果和金色葡萄干。","溫暖的糕點，內含五香蘋果和金色葡萄乾。","Teplé pečivo plněné kořeněnými jablky a zlatými rozinkami.","Warm gebak gevuld met gekruide appels en gouden rozijnen.","Warm gebak gevuld met gekruide appels en gouden rozijnen.","Warm pastry filled with spiced apples and golden raisins.","Pâtisserie chaude garnie de pommes épicées et de raisins secs dorés.","Warmes Gebäck mit gewürzten Äpfeln und goldenen Rosinen.","मसालेदार सेब और सुनहरी किशमिश से भरी गर्म पेस्ट्री।","Pasta calda ripiena di mele speziate e uvetta dorata.","スパイス入りリンゴとゴールデンレーズンを詰めた温かいペストリー。","Ciepłe ciasto nadziewane przyprawionymi jabłkami i złotymi rodzynekami.","Тёплая выпечка с пряными яблоками и золотистым изюмом.","Pastelería caliente rellena de manzanas especiadas y pasas doradas.","Varm bakelse fylld med kryddade äpplen och gyllene russin."
"pancakes_title",50095710214,"بان كيك","Палачинки","薄煎饼","薄煎餅","Palačinky","Pannenkoeken","Pannenkoeken","Pancakes","Crêpes","Pfannkuchen","पैनकेक","Panini","パンケーキ","Naleśniki","Блины","Tortitas","Pannkakor"
